100 meter – Elektronisk tid
rank_in_list,athlete_name,club_name,birth_date,venue_city,performance_raw
74,Jimmy Nymoen,FIK Ren-Eng,07.07.1981,Florø,14.08,51.42
75,Jens Ronny Waidal,FIK Ren-Eng,17.02.1981,Florø,14.08,51.43
76,Even Rønnekleiv,Hyen IL,13.08.1982,Florø,25.09,51.47
77,Terje Dyb,IL Hødd,04.02.1969,Ørsta,22.08,51.50
78,Hans Martin Johnsrud,IF Sturla,07.01.1980,Oslo/Bi,08.06,51.52
79,Jonas Sjolte Bakken,Moss IL,21.07.1980,Sandefjord,16.07,51.58
80,Lars Erik Fareid,IF Urædd,26.11.1981,Oslo/Bi,27.07,51.62
81,Alejandro E. Perez (CUB),Haugesund IL,01.01.1983,Haugesund,03.09,51.62
82,Torleiv Hølland,Sandnes IL,27.12.1969,Kristiansand,11.07,51.63
83,Espen Strindeberg,IF Hellas,31.03.1976,"Waco, USA",21.05,51.65
84,Odd Arnvid Bollingmo,IK Tjalve,08.10.1973,Oslo/Bi,31.08,51.70
85,Anders Jacobsen,IK Tjalve,27.07.1980,Oslo/Bi,07.09,51.71
86,Andreas Høiby,IK Tjalve,10.02.1980,Oslo/Bi,31.08,51.74
87,Martin Rygh,Trondheim FIK,14.03.1981,Lillehammer,26.06,51.88
88,Thomas Stange,Torvastad IL,24.09.1983,Lillehammer,26.06,52.13
89,Jørgen Ommedal,Osterøy IL,05.01.1980,Lillehammer,26.06,52.14


400 meter – Manuell tid
Plassering,Utøver,Klubb,Fødselsår,Sted,Dato,Resultat
1,Roald Bergheim,IL Norna-Salhus,1977,Byrkjelo,07.08,47.8
2,Martin Hjelseth,IK Tjalve,1979,Oslo/Bi,13.06,49.4
3,Eystein Lysholm,IL Skjalg,1980,Stavanger,21.08,50.3
4,Jørgen Ommedal,Osterøy IL,1980,Sandefjord,17.07,51.7
5,Thor Asbjørn Hagen,IL BUL,1977,Oslo/Bi,23.09,52.0

300 meter – Elektronisk tid
rank_in_list,athlete_name,club_name,birth_date,venue_city,performance_raw
1,Quincy Douglas,IL Gular,07.09.1975,Stjørdal,32.82
2,Frank Fiske,Frol IL,16.09.1975,Stjørdal,33.37
3,Geir Moen,Moss IL,26.06.1969,Stjørdal,33.54
4,Roald Bergheim,IL Norna-Salhus,04.03.1977,Fana,33.98
5,Per Øivin Sola,SK Vidar,17.06.1972,Oslo/La,34.45
6,Martin Blekkerud,Moss IL,07.08.1975,Oslo/La,35.11
7,Arild Solheim,IL Fri,08.10.1975,Fana,35.18
8,Jon Are Sundland,IL Fri,23.08.1978,Fana,35.41
9,Jan Petter Bjørnevik,Stjørdal FIK,20.08.1974,Stjørdal,35.42
10,Helge Farbrot,IK Tjalve,19.01.1975,Oslo/La,35.64
11,Bjørnar Pettersen,TIL Hovding,06.10.1981,Fana,36.13
12,Ørjan Vie,IL Fri,27.04.1978,Fana,36.21
13,Bård Venholen,IL Gular,11.04.1975,Oslo/La,36.39
14,Ragnar Bergheim,IL Norna-Salhus,19.06.1982,Fana,36.39
15,Akin Olowo,IL Gular,24.01.1972,Fana,36.49
16,Espen Engebrethsen,IL i BUL,27.05.1980,Oslo/La,36.61
17,Ivar Olsen,IL Gular,03.07.1976,Fana,36.65
18,Gøran Ruud Rødsjø,Oppdal FIK,01.11.1975,Oslo/La,36.94
19,Lars Eric Sæther,Steinkjer FIK,21.04.1979,Oslo/La,37.04
20,Pål Vammervold,Oppdal FIK,09.05.1981,Oslo/La,37.08
21,Espen Kvalheim,IL Fri,22.04.1980,Fana,37.11
22,Jørgen Eide,Fana IL,26.04.1981,Fana,37.20
23,Kjetil Myrmel,Bergens TF,25.05.1981,Fana,37.49

600 meter
Plassering,Utøver,Klubb,Fødselsår,Sted,Dato,Resultat
1,Vebjørn Rodal,Oppdal FIK,16.09.1972,Stjørdal,12.06,1:15.32
2,Kjetil Hodnekvam,FIL AKS-77,25.06.1977,Stjørdal,12.06,1:18.32
3,Tor Øivind Ødegård,Fredrikstad IF,28.02.1969,Lisleby,30.05,1:19.99
4,Jon Are Sundland,IL Fri,23.08.1978,Fana,19.05,1:20.82
5,Terje Dyb,IL Hødd,04.02.1969,Ålesund,18.08,1:22.7h
6,Bjørnar Pettersen,TIL Hovding,06.10.1981,Fana,19.05,1:24.16
7,Terje Aggvin,Ås IL,11.04.1974,Lisleby,30.05,1:24.18
8,Hans Martin Johnsrud,IF Sturla,07.01.1980,Drammen,13.05,1:24.61

110 meter hekk – Elektronisk tid
rank_in_list,athlete_name,club_name,birth_date,venue_city,performance_raw
1,Kenneth Halhjem,IL Gular,10.07.1976,Lillehammer,14.00(+0,5)
2,Tom Erik Olsen,SK Vidar,20.10.1974,Palma de Mallorca, ESP,14.19(-2,1)
3,Benjamin Jensen,IK Tjalve,13.04.1975,Byrkjelo,14.61(-2,7)
4,Ådne Nerhus,IL Gular,24.05.1975,Fana,14.66(+1,4)
5,Torbjørn Sola,IF Sturla,19.02.1979,Nadderud,14.86(+0,6)
6,Birger Hermansen,Moss IL,10.11.1976,Helsingborg, SWE,14.87(-0,2)
7,Vegar Sellæg,Namsen FIF,07.02.1978,Steinkjer,14.95(+1,2)
8,Magnus Husby Rostad,Inderøy IL,07.03.1980,Steinkjer,15.03(+1,2)
9,Espen Strindeberg,IF Hellas,31.03.1976,Ann Arbor, USA,15.08(+0,8)
10,Trond Høiby,Ski IL,24.01.1973,Lillehammer,15.10(+0,5)
11,Knut Harald Sommerfeldt,IF Hellas,13.07.1979,Sandefjord,15.40(-0,4)
12,Runar Heltne,IK Tjalve,21.04.1980,Bern, SUI,15.69(-0,7)
13,Ole Jakob H. Nielsen,Fredrikstad IF,09.05.1980,Nadderud,15.75(+0,6)
14,Ragnar Bergheim,IL Norna-Salhus,19.06.1982,Fana,15.98(+1,5)
15,Magnus Kleppe,Gloppen FIL,04.07.1965,Fana,16.13(+1,5)
16,Ørjan Vie,IL Fri,27.04.1978,Fana,16.25(+0,5)
17,Eivind Stavang,Florø TIF,08.03.1982,Sandefjord,16.55(-0,4)
18,Sverre Helland,IL Staal,02.12.1980,Sand i Suldal,16.69(+0,9)
19,Mats Eirik Elvik,Osterøy IL,06.08.1971,Haukås,16.74(+0,2)
20,Ove Lindekleiv,IL Trio,08.04.1976,Fana,16.85(+1,5)
21,Sigbjørn Reigstad,Osterøy IL,15.08.1978,Haukås,16.93(+0,2)
22,Bård Øina,Kristiansands IF,16.01.1973,Lillehammer,16.97(+0,5)
23,Jon Olav Bjørhusdal,IL Skjalg,03.01.1968,Stavanger,17.08(-2,6)
24,Erik Pettersen,IF Herkules,29.12.1979,Porsgrunn,17.60(-0,8)
25,Esten Konstad Haanæs,Trondheim FIK,26.07.1980,Stjørdal,17.84(-0,2)
26,Mons Fjeldstad,IL Norna-Salhus,12.04.1982,Fana,18.35(+0,7)
27,Kristian Gundersen,IL Norodd,30.08.1982,Straumsnes,18.86(+1,3)


200 meter hekk
Plassering,Utøver,Klubb,Fødselsår,Sted,Dato,Resultat
1,Ragnar Bergheim,IL Norna-Salhus,19.06.1982,Fana,25.08,25.23(+0,7)
2,Roald Bergheim,IL Norna-Salhus,04.03.1977,Fana,25.08,25.25(+0,7)
3,Ørjan Vie,IL Fri,27.08.1978,Fana,25.08,25.26(+0,7)
4,Bjørnar Pettersen,TIL Hovding,06.10.1981,Voss,29.08,25.46(-1,4)
5,Ole Jacob H. Nielsen,Fredrikstad IF,09.05.1980,Drammen,12.09,26.58(+0,1)
6,Torbjørn Herder Kaggerud,Stathelle OIL,07.05.1982,Drammen,12.09,26.85(+0,1)
7,Morten Skaar,Osterøy IL,22.08.1983,Fana,25.08,27.15(+0,4)
8,Sigbjørn Reigstad,Osterøy IL,15.08.1978,Fana,08.09,27.32(+0,7)
9,Øystein Kandal,TIL Hovding,18.06.1983,Voss,29.08,27.33(-1,5)
10,Håkon Mageland,Moi IL,27.03.1981,Sandnes,01.09,27.41(-2,0)
11,Mats Eirik Elvik,Osterøy IL,06.08.1971,Fana,08.09,27.86(+0,2)


300 meter hekk – Elektronisk tid
Plassering,Utøver,Klubb,Fødselsår,Sted,Dato,Resultat
1,Ragnar Bergheim,IL Norna-Salhus,19.06.1982,Fana,10.08,38.33
2,Bjørnar Pettersen,TIL Hovding,06.10.1981,Fana,10.08,38.68
3,Andreas Totsås,Namsen FIF,01.07.1981,Florø,14.08,39.02
4,Akin Olowo,IL Gular,24.01.1972,Fana,19.05,39.56
5,Stein Erik Lund,IL Tyrving,02.04.1981,Oslo/Bi,12.06,39.61
6,Kjetil Myrmel,Bergens TF,25.05.1981,Fana,19.05,40.19


400 meter hekk – Elektronisk tid
Plassering,Utøver,Klubb,Fødselsår,Sted,Dato,Resultat
1,Atle McAdam,IK Tjalve,18.06.1977,Oslo/Bi,25.05,50.98
2,Per Øivin Sola,SK Vidar,17.06.1972,Oslo/Bi,28.07,51.18
3,Ørjan Vie,IL Fri,27.04.1978,Fana,19.06,53.28
4,Ragnar Bergheim,IL Norna-Salhus,19.06.1982,Sandefjord,17.07,53.59
5,Kristian Fagerland,IK Tjalve,08.06.1976,Waco, USA,22.05,53.65
6,Michael Tomala,Minerva IS,01.10.1979,Sandefjord,17.07,53.79
7,Jon Andreas Rove,IL Runar,18.01.1978,Sandefjord,17.07,54.10
8,Roald Bergheim,IL Norna-Salhus,04.03.1977,Fana,15.09,54.56
9,Andreas Totsås,Namsen FIF,01.07.1981,Sandefjord,17.07,55.43
10,Harald Lund,IL i BUL,20.05.1975,Oslo/Bi,28.07,55.52
11,Bjørnar Pettersen,IL Gular,06.10.1981,Fana,19.06,55.63
12,Tom Syring,IK Tjalve,27.05.1974,Oslo/Bi,28.07,55.77
13,Tor Øyvind Ødegaard,Fredrikstad IF,28.02.1969,Oslo/Bi,29.09,56.55
14,Akin Olowo,IL Gular,24.01.1972,Byrkjelo,08.08,56.69
15,Magnus Husby Rostad,Inderøy IL,07.03.1980,Sandefjord,17.07,56.77
16,Håkon Mageland,Moi IL,27.03.1981,Egersund,25.09,57.52
17,Andreas Høiby,IK Tjalve,10.02.1980,Sandefjord,17.07,57.53
18,Ketil Knudsen,Trønder-Øst FIK,11.03.1961,Steinkjer,04.07,57.57
19,Espen Kvalheim,IL Fri,22.04.1980,Oslo/Bi,10.07,57.70
20,Kjetil Hodnekvam,FIL AKS-77,25.06.1977,Knarvik,25.09,58.31
21,Erlend Kolstø,Egersunds IK,06.06.1978,Egersund,19.08,58.40
22,Jon Are Sundland,IL Fri,23.08.1978,Fana,15.09,58.47
23,Haakon Helmersen,Søgne IL,01.04.1980,Kristiansand,11.07,59.05
24,Morten Skaar,Osterøy IL,22.08.1983,Fana,22.06,59.16
25,Askild Solberg,IL Gular,11.01.1980,Fana,22.06,59.73
26,Hans Olav Uldal,IK Grane,16.12.1982,Søgne,04.09,61.30
27,Lorentz Corneliussen,IK Tjalve,09.02.1979,Oslo/Bi,12.06,61.44



400 meter hekk – Manuell tid
Plassering,Utøver,Klubb,Fødselsår,Sted,Dato,Resultat
1,Lars Eric Sæther,Steinkjer FIK,1979,Overhalla,11.07,56.5
2,Thomas Karlsen,Modum FIK,1978,Geithus,26.09,58.2
3,Magnus Husby Rostad,Inderøy IL,1980,Overhalla,11.07,58.8
4,Jens Ronny Woldal,FIK Ren-Eng,1981,Rena,05.09,60.1


